id,manual terms,role,feature,benefit,
77,"home owner, control, stovetop, smartphone, tablet, room, temperature",home owner,to control my stovetops with my smartphone or tablet ,if i am in another room and need to lower the temperature I am able to do that,
78,"music appreciator, music, room, house, party, party guest",music appreciator,the ability to listen to my music in every room in the house simultaneously,parties will be funner and my party guests will be better entertained.,
80,"home owner, oven, app, smartphone, tablet, room, temperature, appliance",home owner,to be able to control the oven with an app on my smartphone or tablet,I may preheat the oven from another room or lower the temperature if needed without having to go to the actual appliance,
82,"person, smart home, bedroom, temperature, lighting, sleep, condition",person who needs sleep,"my smart home to make my bedroom the optimal temperature and lighting both when I go to sleep, and when I awaken",I will have the optimal conditions for a good night's sleep.,
83,"home occupant, outdoor motion sensor, trespasser",home occupant,outdoor motion sensors,Trespassers can be identified,
84,"home owner, garage door, smartphone, tablet, garage",home owner,to be able to open the garage door with my smartphone/tablet,I don't have to go down to the garage to close it if I forget ,
85,"student, smartphone, notification, sound, doorbell, TV, emergency",student,"my smartphone to silence notifications (sounds, doorbells, TVs, etc.) unless it is an emergency",I can study,
86,"home occupant, air purity controller, pollution, sensor",home occupant,air purity controller,it detects pollution and sensors get active ,
87,"movie watcher, smart home, recommendation, movie, viewing habit, movie suggestion",movie watcher,my smart home to make recommendations when new movies come out that match my viewing habits,I will benefit from movie suggestions that I will probably enjoy.,
88,"home occupant, electricity, room, electricity bill",home occupant,the electricity switches off when no one is inside the room,there will be a big saving on electricity bills,
89,"student, smartphone, environment, lighting, sound, temperature",student,"my smartphone to create an environment (lighting, sound, temperature) ",I can study,
90,"home occupant, thermostat, energy, temperature, time of the year",home occupant,a smart thermostat,it can manage energy efficiently and predict what type of temperatures we prefer at different times of the year,
91,"pet owner, smart home, floor, house",pet owner,my smart home to clean the floors regularly,the house is clean,
92,"music lover, radio system, volume, distance, people, remote control, battery",music lover,the radio system to adjust volume based on the distance of the people,avoids the use of remote control and saves battery,
93,"home occupant, smart coffee machine, coffee, morning",home occupant,a smart coffee machine,my coffee will be ready in the morning when i ask it to be without having to deal with making it myself,
94,"pet owner, smart home, pet, schedule",pet owner,my smart home to feed and water the pets on a schedule,they are taken care of routinely,
95,"home occupant, robot, window, place",home occupant,a robot to clean windows,I dont have to risk hurting myself to wash windows in dangerous places ,
96,"home occupant, central a/c system, cooling, heating, temperature, system",home occupant,the central a/c system to switch between cooling and heating based on temperature,there will be no need to manually adjust the system,
99,"home occupant, shower, energy",home occupant,a smart shower,I can save energy while using it as efficiently as possible,
100,"parent, door, alarm, room, child movement",parent,the door look to have an automated alarm when someone leaves or enters the room,i can monitor my young child movements at night,
103,"home occupant, carbon monoxide detector, carbon monoxide, room, house, smartphone, tablet, home, family",home occupant,smart carbon monoxide detectors,I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok,
106,"parent, smart home, child, object, dog, barking sound, person",parent,i want my smart home to buzz when my child is close to an object that can potentially fall,i want my smart home to make dog barking sound when a person ,
108,"home occupant, vacuum cleaner, scheduled timing",home occupant,the vacuum cleaner to run automated on scheduled timings,it would help in forgetting to manually vacuum,
110,"home occupant, smart touchscreen tv, wall, room, music, show",home occupant,a smart touchscreen tv implanted in the wall of each room,I can control each room uniquely and separately. If i want to play music in that room or watch a show I can etc,
112,"tech lover, wireless charger, device, battery limit",tech lover,a wireless charger for my devices,it wirelessly charges the devices when it falls below the battery limit,
114,"home occupant, app, shade, blind, window, home",home occupant,an app to control the shades/blinds on my windows ,I can control them easily at home or while I'm out incase I forgot to close one,
115,"home occupant, device, kitchen item, alarm, order, limit, fruit, vegetable",home occupant,a device that organizes the kitchen items and gives an alarm or places the order when it falls below the limit,i benefit of not forgetting to stock the fruits and vegetables,
121,"home occupant, temperature, room, location, heater, cooler, home, energy cost",home occupant,"Adjust temperature in room, based on my location (if near, turn on heater/cooler, if far from home turn of)",Cut energy cost ,
122,"home occupant, thermostat, home, energy",home occupant,a learning thermostat,my home will be energy efficient and comfortable,
123,"home owner, stove, oven, family, fire, carbon monoxide poisoning",home owner,to be notified if I accidentally leave the stove or oven on,my family will be safer from fire and carbon monoxide poisioning. ,
124,"home occupant, automatic garage door opener",home occupant,an automatic garage door opener,it's easier and safer to get in and out,
125,"room, weather adjustment, home",i am,i want any time my room is weather adjustment ,so  i am always relax my home,
126,"music lover, room lighting, lighting effect, time of day, mood",music lover,my room lighting to change lighting effect based on the time of day,i benefit on a pleasant mood everytime,
127,"home occupant, smart lock, home",home occupant,smart locks,my home is secure,
128,"home occupant, smart device, photo, person, main gate, home",home occupant,a smart device that sends out photos of person who enter through the main gate,i would know who have come to home while we are away,
129,"home occupant, smart home, sound, text message, mobile phone, car, driveway, vehicle-related theft, home",home occupant,My smart home to alert me via a specific sound and a text message via mobile phone that someone has approached my car positioned in my driveway.,vehicle-related thefts can be minimized either when we are home or are not.,
130,"home occupant, door, remote location, alert, video feed, kid, home",home occupant,to unlock the door from a remote location that has an alert with video feed,the kids don't need to wait when they get to home,
131,"home occupant, smart window cleaner",home occupant,smart window cleaners,I don't have to do that chore,
132,"home occupant, device, guest, doorstep",home occupant,a device that greets and welcomes guests at the doorstep,our guests would feel humbled by its gesture,
134,"home occupant, outdoor motion detector, measure, security, property",home occupant,outdoor motion detectors,I have an added measure of security of the property,
136,"home occupant, door, key",home occupant,"Doors automaticaly lock / relock if I'm near it (NFC, IR bracelet, or something similar)",no need to use key,
137,"home occupant, smart breakfast appliance, morning",home occupant,smart breakfast appliances,it will save me time in the morning.,
138,"home occupant, smart home, tv, home",home occupant,my smart home  to to turn on the tv when I get home,I can relax as soon as possible,
139,"home occupant, window sensor, window, air",home occupant,window sensors,I'm aware if a window is open and letting cold/hot air in,
141,"health conscious person, smart home, air quality, home, family, respiratory issue, health",health conscious person,to be notified by my smarthome of the present air quality in my home.,my family will have fewer respiratory issues and better overall health. ,
142,"home occupant, integrated smart electronics, remote control, device",home occupant,integrated smart electronics,I only need one remote and devices are easy to operate,
143,"home occupant, house, home, vacuum cleaner",home occupant,House vacuum clean itself when I'm not home (like integrated roomba vacuum cleaner),no need to manualy clean,
144,,parent,my smart home to play a warning sound when my child is close to the stove,he won't burn himself,
145,,home occupant,a robot cleaner,I will not need to wash the floor and sweep myself,
146,,parent,my smart home to lower the thermostat at night,I can save expenses paid for air conditioning,
147,,home occupant,smart lights,they are scheduled to dim at night or turn off when no one is in the room,
148,,children,my child don't fear for dark nights ,my child get a peaceful dreams,
149,,parent,my smart home to play a lullaby at bed time,I don't have to sing my children to sleep,
150,,home occupant,save my home energy ,the sensors save the home energy ,
151,,home occupant,my smart TV to switch to the sports channel when the sports game begins,I don't miss the game,
152,,home occupant,Home automatically heats precooked meal based on approximate of arrival (based on GPS location),no need to manually cook / heat meal ,
153,,occupant,Room thermostats,It Can indicate the outside temperature and room temperature as well so that i can well prepared for it in advance,
154,,person who is introverted,my smart house to screen all forms of communication including visitors,I can focus on what is important at the moment,
155,,person concerned with safety,my smart home to actively and proactively secure itself,"my family and I feel safe, even if we forget to lock a window",
156,,home occupant,my smart home to alert me when I am about to run out of medication,I will never run out of mediaction,
157,,parent,"Lights in child bedroom can be controlled automatically, or can be programed",kids sleep earlier,
160,,home occupant,my smart home to turn on the sprinkers when there is a fire,the house won't burn down,
161,,movie lover,a projector mounted on the wall that has wifi capabilities to connect to video streaming services (Netflix etc),my family can be entertained without having to fumble with several different electronics. ,
162,,dancer,"my smart house to convert a room (move furniture, have mirrors, and have a place for media)",I can exercise and practice for more time rather than rearrange a room on a daily basis,
163,,home occupant,my smart home to play my favorite music at 7:45 AM,I can wake up listening to my favorite music,
165,,person who wants green energy,my smart home to monitor energy use and excess,we can determine how to be more conscientious of what we use,
166,,home occupant,my smart home to alert me when there is more than one person in the house,I would know if someone is breaking in,
167,,energy conscious consumer,the ability to turn off/on lights in different rooms with voice commands.,I can save energy without having to physically walk over to the room.,
168,,parent,my smart home to alert me when my children are not home by their usual time,I will know if they have gone missing,
169,,person who lives where hurricanes hit,my smart home to activate safety features such as window coverings,the house is safer during inclement weather,
170,,home occupant,Bed automatically makes itself for sleeping and after sleeping,no need to occupant manually make bed,
171,,responsible pet owner,to be notified when my dog enters and exits my home ,I can be aware of my dog's whereabouts at all times and therefore be a more responsible pet owner.,
173,,person who lives with family members,"my smart home to remember entertainment preferences, such as music or videos",one does not need to bring a laptop into each room,
174,,home occupant,"home automatically check air quality (for elegant, dust, soot etc) and try to improve quality level by automatic intake of fresh air",air quality is on good level,
175,,parent,Get early notification when kids are back from school (based on GPS location),know precisely when they arrive,
176,,home occupant,My smart home to capture a picture and alert me via a specific sound and a text message via mobile phone when a vehicle enters my driveway,home and/or vehicle-related thefts can be minimized either when we are home or are not,
177,,home occupant,garage door open automatically when I arive with my car,no need to manually open garage dors,
178,,decision maker of home,"my smart home to automatically switch off/on electric gadgets like bulbs, fans, ACs when a person move out or move in the particular affected region of particular gadget.",so that both energy and money can be saved,
180,,home occupant,Fence doors automatically unlock and open when i arrive by foot or by car,no need to manually open / close or lock / unclok,
181,,decision maker of home,my smart home to auto start video recording and sending the same to smarthome when a theft approaches inside home,so that so that I can quickly complain the same with sufficient proof to appropriate authorities,
183,,home occupant,turn electronic devices on or off from anywhere I have an Internet connection.,I can save energy,
184,,health couscous person,"my smart home to sense and inform small or tiny movable living things like mosquitoes, termites.",so that so that we can take appropriate steps to discard them in order to free from material or health loss,
185,,home owner,to protect my objects ,my things wont get stolen ,
186,,home occupant,my smart home to alert me via a specific sound and a text message via mobile phone when a personal parcel package is delivered to my door,parcel package-related thefts can be minimized either when we are home or are not,
187,,home owner,my smart home to alarm me if danger,I can be safe,
188,,home owner,my smart home to automatically open doors to those whose faces are already registered in system,so that so that I don't need to open doors manually.,
190,,parent,my smart house to contact the police,I can be safe if my home is broken into ,
191,,home occupant,I want my smart-home to take picture of persons coming near to outside doors between 8 pm to 6 am.And a mobile alert same time.,So that i can recognize unknown persons .,
192,,parent,my smart home to film the house ,I can catch intruders on camera in case of court. ,
193,,home owner,switch on any lights automatically when dark falls and switch off in the morning automatically.,I can save electricity,
194,,home owner,my smart house to have solar panels,I can save money on electricity ,
195,,home owner,my smart home to shut off the air when the room is at the right temperature ,I can save money on bills ,
196,,home owner,my smart home to tell me if food is spoiled in the fridge,i dont eat old food,
197,,home owner,my smart home to tell me the bacteria percentage in my home,I know when to disinfect ,
198,,occupant,Revolv (central automation device ),"When we are using  too many home automation devices, opening the right app for the right device can become difficult and counterproductive. This time Revolv become the central automation device for my home.  Just put this device in centre of  home and  connect to  Wi-Fi then let it scan for  other home automation devices. Even if it fails to locate them, we can manually add them through the Revolv app too.",
199,,home owner,my smart home to lock all doors at once ,I dont have to worry about locking all the doors. ,
200,,wife,my smart home to automatically open windows with the help of remote control,smoke can be emit quickly,
201,,home occupant,"my smart home to capture a picture, open a communication channel, and alert me via a specific sound and a text message via mobile phone when a person rings my doorbell or knocks on my front or rear door",I may know and may communicate with visitors to my home without having to approach or to open the doors in question,
202,,home occupant,my smart home to take photographs of person and message photo to my mobile phone when he approaches the main door.,thefts can be reduced,
204,,student,my smart home to have a system which can remind me to do a pre manage lists of a day or night,I can't miss any less important task,
205,,parent,my smarthome to switch off All the bulbs after 10 pm automaticaly,we can save wastage of electricity,
206,,home occupant,Lights in the front side of my home is on when I am out of station.,thieves will think that people is there in the house.,
207,,home owner,my smart home to inform me quickly when my solar water heater does heat water,I don't need to go everytime in bathroom to check the hotness of water,
208,,home occupant,to secure my house and my family when there is a gas leakage.,I am tension free.,
209,,home occupant,"I want to get the Airconditioner off,when the room is empty",I can save energy,
210,,parent,"to switch off TV, Radio and other Leisure gadgets after 10 pm ",no energy is wasted and consume the overuse of electricity,
211,,a parents,I want to block strangers from entering my house when the child is alone.,I am tension free.,
213,,home occupant,I want to secure my house during night.,I can sleep peacefully,
214,,home occupant,Keyless Digital Door Lock,I don't have to carry keys with me.,
215,,home occupant,"control my shower''s temperature, spray, steam, audio, and lighting of the shower.",I can save energy,
216,,home occupant,Innovative controls in my kitchen,so that cooking is energy saving & easy ,
217,,home occupant,control the temperature in my room.,I can save energy,
218,,home owner,my smart home to automatically start radio in specific timings ,I can't miss any favorite radio songs ,
219,,home occupant,my smart home to automatically open and close my garage door when I approach and leave my home in my car,"vehicle-related weather protection can be maximized, and vehicle thefts can be minimized ",
220,,home occupant,giving voice commands to equipments,i am relaxed,
221,,parent,my smarthome clock to alert my child to eat food at regular and correct time,my child can look after his health properly,
222,,single woman,alarms to go off when movement is triggered,i can feel safe in my home alone.,
223,,owner,Net alarm system ('smarter' home security system),"As part of the system, window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application. This system is easy to set up and connect to  smartphone, and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button, which if pressed, alerts the connected smartphone to the call for help",
224,,single woman,motion lights,I can see any intruders at night as they approach.,
225,,mother,my coffeemaker to start automatically,my coffee will be ready when I go to wake my son up early in the morning.,
226,,home owner,my smart home to have fans whose speed vary with external environment ,both energy and money can be saved,
227,,mother,automatic alarms to go off when smoke detectors are triggered,I know my kids are safe.,
228,,parent,my washing machine to automatically turn off when the washing is finished,No wastage of electricity and energy is happening,
229,,mother,carbon monoxide detectors with self-testing capacity,I know my alarms are on and functioning to keep my kids safe.,
230,,bill payer,lights to automatically turn off when no motion is detected in a room,I will save on bills.,
231,,parent,to keep a buzz on electric wires and other sockets,my children is alerted when touching them accidently,
232,,bill payer,a thermostat that learns my schedule and self-adjusts,I know I am saving as much as possible on my home heating costs.,
233,,occupant,Multipurpose bathroom appliace like shower,"It can automatically sense the room temperature and  according to temperature ,it change the temperature of water so that we will not have any discomfort while bathing.",
234,,mother,an oven that preheats at set intervals,I can be ready to cook dinner when I get my son home from school.,
235,,home owner,my smart home to have dynamic solar panels which can be set just opposite to the sun,so that maximum electricity can be generated. ,
236,,home occupant,A/C automatically maintain the perfect temperature by calculating  past usage patterns.,can be save on energy costs,
237,,parent,wireless access to emergency services,I can still call for help if my phone lines are cut.,
238,,home owner,remote wireless access to surveillance cameras,I can keep an eye on my home in real time even when I am away.,
239,,parent,to set an alarm on all the water pipes ,it automatically alerts when there is a water wastage,
240,,parent,to get an alert when there is water spilled over the floor,home occupant is alerted and don't fall off,
242,,home occupant,my A/C to automatically on if the temperature fall down a mentioned room temperature,the temperature is well maintained all the time,
243,,occupant,Auto sensing music system,It can sense automatically my mood and play the song as per my mood,
244,,home occupant,"my smart home to notify me via text message when my internet service bandwidth declines below a pre-specified speed, and also keeps track of bandwidth outages and speed reductions",I may be notified of internet service provider outages and bandwidth reductions which will affect the use of my smart home technologies,
245,,home occupant,Thermostat show temperature from across the room and give recommend to heat or cool the room. ,can be save on energy costs,
246,,home occupant,my doors to lock up automatically after a mentioned time,we can prevent theft and other burglary ,
247,,home occupant,my smart home to notify me via text message when regular tests of my various installed smart home technologies indicate a specific technology malfunction or failure,may know without manual testing that my various installed smart home technologies are completely functional and operative,
248,,home occupant,open door using my smart phones,can increase my home safety,
249,,home occupant,a doorbell camera let me to see and talk to the visors at front door. ,can save time,
250,,home occupant,my smart home to automatically water my front and rear lawn areas at pre-specified times each day,I do not have to manually water my lawn,
251,,home occupant,to open front gate of my home automatically when my vehicle approach to gate and close after vehicle pass the gate,can be save time,
253,,home occupant,coffee machine is controllable from mobile and tablet.,can be save time,
254,,home occupant,smart device to clean your windows automatically,can be save time,
255,,home occupant,"my smart home to automatically close and open pre-specified window shades, and to turn on-off specific lights in and around my home automatically each night and each day",I do not have to manually adjust these items each evening,
256,,home occupant,my smart home to manage electicity of home. when some activity or movement is going on the lights get auto on for some specific time but if there is no activity going on like room is vacant or people are sleeping then it can auto sensor and switch off the lights and also maintain the brightness of lights.,energy can be saved in less effort,
257,,home occupant,smart snowlance to clean snow on my home roof automatically,can be save time,
258,,temperature controller home occupant,my smart home to monitor my body temprature and manage the home temprature according to that.,people living in home stay fit and healthy,
259,,home guard,my home to blink a red bulb whenever someone is starring for more then one minute to the home,i can closely monitor who is keeping eye on me or my home,
260,,entertainer,my home to play soothing music while evening time,i can relax,
261,,time manager,my smart home to ring bell in all over the home ,so that all member can wake at time.,
262,,home occupant,my smart home to make sound the alarm in the moments before a big tremor strikes,can be save life,
263,,assistant,my smart home to have voice command feature to operate activities from bathrooms ,even if i am alone in home and in bathroom i can manage the activities,
264,,cleaner,my home floors to be auto cleaner when anything spills.,i can manage cleanniness and good health,
265,,entertainer,my smart home to be full of sunlight and moonlight by transparent walls whenever i need it i can manage the opesity,i can enjoy the nature,
266,,home occupant,"my smart home to collect and manage the various power requirements of my smart appliances, heating and cooling technologies, and my security and access systems, and I wish to be alerted via text message via mobile phone when power-related problems, spikes or failures occur","I may have alternate back-up power sources automatically activated, or manually activate them myself",
267,,assistant,my smart home to give alert if anything is on the floor apart from usual things like if my key is lost somewhere my smart house should give me an alert of direction where i should search it.,it can save my time to search things,
268,,entertainer,my smart home to change the fragrence of home in every few hours,i can enjoy the fregrances,
269,,temperature control,it to maintain the temperature and ask person at home or other place if the temperature should be higher or lower.,A person can be comfortable and not too cold or too hot.,
270,,gardner,it to run a lawn mower if the grass is getting too high and out of control.,the grass is maintained and looking nice.,
271,,protector,it to watch people who get close to the house and alert the homeowner if they are suspicious.,the homeowner knows if someone might break in or might steal something outside like mail.,
272,,energy saver,it to check each room and turn off lights if a person is not in the room,the electricty isn't being used when it is not needed.,
273,,grocery organizer,it to check the contents of the refirgerator and inform user if the milk is too old or when to get new food.,food can be thrown out when old or food can be bought when running out.,
274,,home occupant,my smarthome to beep when there is a rodent inside my home,there won't be any damage to my household things,
275,,housewife,my smarthome to automatically turn on the television whenever my favorite show is telecast. ,I don't miss my favorite shows,
276,,news informer,it to turn on the TV to the news channel of the user's choice when important news is happening,the user can be aware when major news is happening which the user would want to hear about right away.,
277,,home occupant,my smarthome to alert me when there is water flooding in my home during the rainy season,I can save my belongings,
278,,maid,it to prepare the bath when a user wants it at a perfect temperature and with bubbles if needed.,the user doesn't have to wait for a bath to have it at a perfect temperature.,
279,,dog owner,my smarthome to buzz me whenever my dog poops inside my home,I can clean the faeces quickly and keep my home clean,
280,,cook,it to prepeare the coffee in the morning before user wakes up,the user can have a fresh hot coffee when they get up.,
281,,housewife,my smarthome to alert me whenever someone sets up a spycam inside my home. ,I won't be monitored,
282,,parent,"it to remind the person to go to bed at a specific time for school,work or special occasion",the user will get enough sleep and not forget about when they have to go to sleep.,
283,,home occupant,my smarthome to automatically turn off the lights whenever I leave my home,I can save money on energy bills,
284,,home occupant,my smarthome to alert me whenever there is a gas leak inside my home,I can save myself,
285,,maid,it to wash the dishes at the best time available,the dishes will get washed at a time when appliances are not used often in the neighborhood.,
286,,housewife,my smarthome to alert me whenever the amount of milk in my fridge is too low,I can get them from the supermarket and enjoy a wholesome breakfast,
287,,energy monitor,it to turn on the outside lights at night and turn them off in the morning also dim lights when light isn't needed so bright,energy is saved and safety at night is observed with light to deter burglary,
288,,professional,my smarthome to play some music after I come back from work,I can relax and relieve my stress,
289,,home occupant,my smarthome to give an update on the weather when I am about to leave my home,I can carry an umbrella and avoid the rains,
290,,health monitor,it to monitor people with health problems so if something is wrong the medical emergency agents gets called,people who might fall and can't get help will be able to get help or someone who passes out because a disease can get help fast.,
291,,cooker,it to turn on the oven at a specific time agreed upon by a person,dinner can be ready at a specific time before the home owner gets home or they forget.,
292,,parent,dangerous doors to stay locked,my child will be safe.,
293,,parent,channels to be safe,my child wont watch bad stuff,
294,,home owner,doors to stay locked,thiefs don't enter,
295,,home owner,cameras to record,i can see what happens,
296,,home owner,items to save energy,my bills arent high,
297,,home owner,lights to dim when i'm gone,i save energy,
298,,home owner,alarms to be in place,i know whats going on,
299,,home owner,detectors installed,i know when a fire happens,
300,,mother,health scales installed,i can stay healthy,
301,,mother,high tech learning,my child can learn,
302,,parent,to know when someone is trying to break into my home.,I can protect my family on the inside.,
303,,parent,something to warn me if there is an electrical problem in the wall,I can get it fixed before my house burns down.,
304,,pet owner,something that alerts me when my dog gets too close to dangerous foods or things,I can get the dog away from whatever is there.,
305,,home occupant,radiator thermostats,I can control the temperature of the house easily even when I am away from home.,
306,,home occupant,my smart home to alert authorities when it detects the presence of carbon monoxide or fire.,they can respond quickly and prevent loss of life or damage to the home.,
307,,energy saving person,an alert my refrigerator is acting funny,so I can have it serviced so I can save money.,
308,,home occupant,smart lights that change throughout the time of day,lights will automatically come on when needed when I come home.,
310,,parent,my refrigerator to let me know when food is bad,I can toss it to keep my family from becoming ill.,
311,,home occupant,My smart house to turn the lights off after there is no movment in a room for 20 min,I can save money on light bulbs and electricity.,
